,Average1,Average5,TasksTotal,CpuUs,CpuSy,CpuId,MemBuff,DiskRead,DiskWrite,NetRead,NetWrite,SysInt,species
190,0.3703488696002786,0.14316719640713235,-0.5760110060571682,-0.7567046793692014,-0.9810341298933545,0.20730665591596678,-1.075373702129443,2.1381658155715155,-0.8463575159450196,-0.7363875319873063,-0.1642438102769864,-0.9439801808283145,fio
1399,0.21039535124249242,0.3049692953287862,-0.6033789857086168,-0.760356374248886,-1.0293312976549303,0.40312772655002727,-1.0436857324051965,2.1134195397338287,-0.835151337507076,-0.1080628443663062,-0.1642438102769864,-0.9446244661158129,fio
1791,0.19943963080702748,0.3174156106304516,-0.5760110060571682,-0.760356374248886,-0.9810341298933545,-0.13850502201226905,-1.0335704131801016,1.8956523123621827,-0.8463575159450196,-0.40836508477340183,-0.1642438102769864,-0.9417062327547908,fio
1130,0.2235422157650499,0.3199048736907847,-0.5896949958828924,-0.7567046793692014,-0.9810341298933545,0.20730665591596678,-1.050684286602951,1.9995866708804682,-0.8463575159450196,-0.5977864979532621,-0.1642438102769864,-0.9427295093878765,fio
1997,0.2564093770714444,0.3223941367511178,-0.5896949958828924,-0.7567046793692014,-1.0293312976549303,0.03231761407276323,-1.0283208535720691,2.044129967388305,-0.8444254162143398,0.09752868945085928,-0.1642438102769864,-0.9439801808283145,fio
771,0.22792450393923613,0.3099478214494524,-0.5896949958828924,-0.7567046793692014,-0.9810341298933545,0.12814494651070785,-1.0600964018177452,2.03423145705323,-0.836890227264688,-0.459185463919218,-0.1642438102769864,-0.9463299271709557,fio
1510,0.2016307748941204,0.3074585583891193,-0.6033789857086168,-0.7567046793692014,-0.9810341298933545,-0.021845660783466288,-1.0408574613308001,2.0589777328909173,-0.846159668932598,0.16451918923398062,-0.1642438102769864,-0.9444349704430192,fio
64,0.2235422157650499,-0.05597384841951861,-0.5760110060571682,-0.7567046793692014,-0.9327369621317787,0.02815120831459136,-1.0788279020481728,2.0540284777233797,-0.8463575159450196,-0.3205844298851739,-0.1642438102769864,-0.9426158119842003,fio
675,0.2060130630683066,0.29252298002712035,-0.5896949958828924,-0.7567046793692014,-1.0293312976549303,-0.30932765809730073,-1.0625872380007517,2.078774753561067,-0.8463575159450196,-0.40836508477340183,-0.1642438102769864,-0.9405313595834702,fio
1013,0.21696878350377116,0.3174156106304516,-0.6033789857086168,-0.760356374248886,-0.9810341298933545,0.0364840198309345,-1.0539066610237795,2.009485181215543,-0.846159668932598,-0.3205844298851739,-0.1642438102769864,-0.9417062327547908,fio
